Day,Date,Shift,Name,Tips,Hrs,Total
Wednesday,7/9/2025,Evening,Diya,170.05,8.3,235.75
Wednesday,7/9/2025,Evening,Zarin,65.06,7.6,134.97
Monday,9/18/2025,Morning,Emily,72.65,5.6,121.5
Monday,9/18/2025,Morning,Ritu,54.28,7.2,121.3
Monday,9/18/2025,Morning,Sameed,96.02,8.6,172.72
Monday,9/18/2025,Morning,Emily,72.65,5.6,121.5
Monday,9/18/2025,Morning,Ritu,54.28,7.2,121.3
Monday,9/18/2025,Morning,Sameed,96.02,8.6,172.72
Monday,9/18/2025,Morning,Emily,72.65,5.6,121.5
Monday,9/18/2025,Morning,Ritu,54.28,7.2,121.3
Monday,9/18/2025,Morning,Sameed,96.02,8.6,172.72
Monday,9/18/2025,Morning,Emily,72.65,5.6,121.5
Monday,9/18/2025,Morning,Ritu,54.28,7.2,121.3
Monday,9/18/2025,Morning,Sameed,96.02,8.6,172.72
Wednesday,7/9/2025,Evening,Diya,170.05,8.3,235.75
Wednesday,7/9/2025,Evening,Zarin,65.06,7.6,134.97
Saturday,,Morning,Diya,78.4,8.47,155.68
Saturday,,Morning,Riddhi,250.3,5.77,281.76
Saturday,,Morning,Ritu,68.47,4.78,109.48
Saturday,,Morning,Diya,78.4,8.47,155.68
Saturday,,Morning,Riddhi,250.3,5.77,281.76
Saturday,,Morning,Ritu,68.47,4.78,109.48
Saturday,,Morning,Diya,78.4,8.47,155.68
Saturday,,Morning,Riddhi,250.3,5.77,281.76
Saturday,,Morning,Ritu,68.47,4.78,109.48
Saturday,,Morning,Diya,78.4,8.47,155.68
Saturday,,Morning,Riddhi,250.3,5.77,281.76
Saturday,,Morning,Ritu,68.47,4.78,109.48
Saturday,,Morning,Diya,78.4,8.47,155.68
Saturday,,Morning,Riddhi,250.3,5.77,281.76
Saturday,,Morning,Ritu,68.47,4.78,109.48
